название,текст
Гроб на колесиках - 2,"Одна девочка стала убираться в доме. Радио говорит: - Девочка, девочка, гроб на колёсиках ищет твой город.  Девочка не прячется. Радио опять: - Девочка, девочка, гроб на колесиках ищет твой дом.  Девочка не прячется. Радио: - Девочка, девочка, гроб на колесиках ищет твою квартиру.  Девочка не прячется. Радио снова: - Девочка, девочка, гроб на колесиках уже у тебя за спиной.  Девочка не спряталась, и гроб ее прибил, подвесил к потолку и поставил под нее таз, чтобы кровь стекала."
Гроб на колесиках - 3,"Однажды мама, уходя на работу, сказала дочке: - Никому дверь не открывай!  Через некоторое время зазвонил телефон. Девочка подняла трубку и услышала: - Девочка, девочка, гробик на колесиках ищет тебя. Он уже нашел твой город.  Через некоторое время опять зазвонил телефон: - Девочка, девочка, гробик на колесиках нашел твою улицу и ищет твой дом.  Девочка испугалась и стала прятаться. Опять зазвонил телефон, но девочка не брала трубку. Тогда радио включилось само собой и сказало: - Девочка, девочка, гробик на колесиках нашел твой этаж и квартиру.  Тут же раздался звонок в дверь. Девочка вылезла из шкафа и посмотрела в глазок, но никого там не увидела. Поэтому она открыла дверь. Гробик на колесиках въехал в комнату. Оттуда выскочил черт, затащил девочку в гробик и уехал..."
Гроб на колесиках - 4,"У одной девочки умерла мама и сказала: - Если я умру, не крась ногти красным лаком.  Мама умерла, девочка это забыла и покрасила ногти красным лаком. И вдруг по радио передают: - Девочка, девочка! Сотри ногти! К твоему дому подъезжает гроб на колесиках.  Она пошла стирать их, но они не стирались. А по радио опять передают: - Девочка, девочка! Сотри ногти, гроб уже ищет твой подъезд!  А один ноготь никак не стирался. По радио передают последний раз: - Девочка! Девочка! Скорей сотри ноготь!  Гроб подъехал к двери и позвонил. Девочка думала, что это не гроб и открыла. Гроб открылся, а из него вышла её мать и говорит: - Почему ты меня не послушала? - И задушила девочку."
Красные перчатки,"Одна девочка пошла в магазин покупать перчатки. Ей мама сказала, чтобы она купила любые, только красные не покупала. Когда девочка увидела в магазине красные перчатки, то они ей понравились, и она их купила. Когда она подошла к своему дому, то увидела, что он горит. Приехали пожарные. И они никак не могли погасить пожар. Тут вдруг из-за дерева появилась женщина с  красным лицом. Когда ее увидели, все испугались и убежали.  Девочка одна осталась. Эта женщина сказала, что  сможет потушить дом, если девочка потом выполнит одну ее просьбу. Девочка согласилась. Женщина быстро потушила все. Потом она сказала девочке, чтобы девочка ночью пришла на кладбище и положила на могилу в центре кладбища свои перчатки. Девочка очень испугалась. Но она еще больше боялась не выполнить приказ. Она не знала, что делать. И она пошла на кладбище и положила в центре кладбища свои перчатки. Вдруг с одной могилы съехала крышка, и выскочила эта женщина. Она хотела схватить девочку за  руку, но девочка побежала. Тогда эта женщина закричала:  - Ты просто так от меня не отделаешься! У тебя умрет бабушка!  Девочка пришла домой и увидела, что у нее умерла бабушка. Потом, когда хоронили бабушку, девочка опять встретила на кладбище эту женщину. Она снова ей сказала приходить на кладбище. Девочка пришла, и эта женщина с красным лицом и в красных перчатках сказала ей, что этой ночью она умрет. Девочка пришла домой, легла спать и умерла. Ее похоронили. Она лежит и вдруг видит, что она под землей. Она увидела там свою маму и бабушку и побежала к ним. А потом вдруг заметила, что у них красные лица.  И у нее самой тоже было красное лицо. Потом они сами стали приходить к людям, которые покупали красные перчатки."
Белые тапочки,"Одна семья получила новую квартиру. Когда они переехали в неё, то увидели в прихожей белые тапочки. Они не стали их трогать. Ночью папа проснулся и услышал какие-то звуки, но ему показалось, что он ослышался и не стал вставать. Когда все проснулись утром, то увидели, что его нет, а на постели красное пятно.  На следующую ночь то же произошло с мамой, а затем с дочкой и с сыном. Пришел отряд из 20 человек, положили на ту кровать банку с литром крови и покрыли одеялом. Ночью раздался стук, затем к кровати подползла тапочка и начала выпивать кровь. Один милиционер выстрелил в нее, и она разлетелась на кусочки. Эти кусочки вылетели в окно и полетели к кладбищу.  Милиционеры выбежали на улицу и побежали за клочками. Они добежали до старого колодца. Заглянули туда, а там кости, скелеты и на них стоит чемодан с кровью. Сидит на чемодане вторая тапочка, милиционеры попасть в неё не могут из пистолета. Так и не смогли уничтожить ее."
Стеклянная кукла,"Однажды одна семья - мама, папа и дочка - пошли в универмаг. Девочка увидела на витрине очень красивую стеклянную куклу. Она была волшебная. Дочка попросила купить эту куклу. Но отец сказал дочери, что эта кукла волшебная и она приносит несчастье. Девочка тогда стала просить у матери. Мать сжалилась и купила куклу.  Отец на следующий день уехал в командировку и оставил девочке записку: ""Дочь, не одевай на новую куклу голубое платье.""  Не послушалась девочка и одела. Ночью она услышала стук. Кукла подошла к постели девочки и спряталась под подушку. Она стала шептать девочке: - Ляг, я тебя задушу.  Девочка подумала, что это ей кажется, и легла. Кукла ее задушила. То же повторилось с мамой девочки.  Папа вернулся домой и увидел, что все мертвы, а кукла сидит на телевизоре и смеется. Он подбежал к ней и разбил ее об пол. Мама и дочка сразу ожили."
Стеклянная кукла - 2,"Однажды одна маленькая девочка увидела в магазине красивую стеклянную куклу. Она привела в магазин своих родителей и попросила купить ей эту куклу. Родители ей говорили: - Зачем тебе эта кукла? Не купим!  Девочка сказала: - Хочу, хочу, хочу! - и заплакала.  Тогда ей эту куклу купили. Девочка весь день играла с этой куклой, а вечером положила ее на стол и легла спать. Утром, когда она проснулась, ей сказали, что умерла ее мать. Девочка долго плакала, а на следующее утро умер ее отец, а еще через день бабушка.  Она осталась одна с маленьким братом. Вечером, когда они ложились спать, девочка испугалась темноты и включила свет во всех комнатах. Маленьким детям было страшно, как вдруг они увидели, что из ящика с игрушками вылезла стеклянная кукла. Ноги ее вытянулись, и она шагнула к детям. Ее большие руки с длинными пальцами доставали до пола. Она подошла к кровати брата и схватила его за шею руками. Из пальцев вылезли иголки и она вонзила их ему в горло. Испугавшись, девочка выбежала из квартиры и позвонила соседям. Соседи вызвали милицию. Когда приехала милиция, брат был уже мертв, а кукла, маленькая стеклянная игрушка, лежала в ящике.  На следующую ночь милиционеры сами видели, как кукла вставала из ящика и ходила по комнате, но никого не нашла. Тогда они взяли стеклянную куклу, заперли в железный ящик и поехали на завод, где этих кукол делают.  На заводе все было нормально. Никто не знал о таких страшных куклах, но один милиционер вдруг нечаянно наступил на плиту в полу, и пол поехал в сторону, а там, внизу другой завод; и делают этих кукол старухи из дома престарелых. Тут их всех и директора завода арестовали и увезли в тюрьму."
Стеклянная кукла - 3,"Одна девочка попросила у мамы купить стеклянную куклу. Мать ей купила. Девочка поставила куклу на стол и легла спать. Потом она проснулась и услышала голос, который повторял одно и то же:  - Девочка, встань с постели, одень тапочки и подойди к столу.  Девочка ничего не сделала. Голос опять повторил это. Девочка встала, надела тапочки, подошла к столу и увидела, как кукла сверкнула своими зелеными глазами. Девочка испугалась, но голос повторился, и она подошла к столу. Стол был у окна. Кукла толкнула девочку. Девочка упала в пропасть.  Всё это повторилось с мамой. Но мама взяла топор и прежде, чем кукла начала говорить, ударила её и выбросила в окно. Как только кукла упала и разбилась, девочка сразу же попала к маме."
Кукла в черном платье,"Одной девочке мать запрещала покупать кукол в черных платьях. Пошла однажды девочка в магазин покупать себе куклу. Все куклы были страшные, только одна красивая, но она была в черном платье. Девочка ее купила и принесла домой.  Вечером она положила ее в постель и легла с ней спать. Ночью мать услышала крик девочки. Она пошла к ней в комнату и увидела, что девочки нет на кровати. Мать заглянула под кровать, а там кукла в черном платье доедала горло девочки."
Красное пианино,"Девочке купили красное пианино, но в магазине предупредили, что починить его может только одна бабушка, и дали ее адрес. Девочка начала дома заниматься и скоро почувствовала, что ей больно кончики пальцев. Ей сказали, что она просто намяла их. Скоро девочка начала чахнуть, становилась всё тоньше, сошел со щек румянец. Через месяц пианино сломалось. Позвали ту старушку. Она пришла и сказала:  - Я буду чинить, а вы не смотрите, не заглядывайте в комнату, а то я чинить не смогу! - Ее послушались. Через некоторое время старушка ушла.  Девочка опять стала играть, но все больше худела. Скоро у нее не стало сил ходить по комнате. Через месяц пианино опять сломалось. Вновь пришла старушка. Она опять велела не смотреть. Но родители не выдержали и посмотрели в щелку. Они увидели, что старуха открыла крышку и вынула банку с кровью. Она жадно стала пить эту кровь.  Позвали они милицию, и старуху арестовали. Стали исследовать пианино и увидели, что клавиши у него состоят из мелких, мелких иголочек. Девочка играла и протыкала пальчики. Кровь капельками стекала в банку, а старуха приходила и выпивала ее."
Черное пианино,"Жила-была семья: мама, папа и девочка. Девочке очень хотелось научиться играть на пианино, и родители решили его ей купить. У них еще была старая бабушка, которая сказала им, чтобы они ни в коем случае не покупали черное пианино. Мама и папа пошли в магазин, но там продавали только черные пианино, и они купили черное.  На следующий день, когда все взрослые ушли на работу, девочка решила поиграть на пианино. Только она нажала на первую клавишу, из пианино вылез скелет и потребовал у нее банку крови. Девочка дала ему крови, скелет выпил ее и залез обратно в пианино. Так продолжалось три дня. На четвертый девочка заболела. Врачи не могли помочь, потому что каждый день, когда все уходили на работу, скелет выходил из пианино и пил девочкину кровь.  Тогда бабушка посоветовала разбить черное пианино. Папа взял топор и стал рубить и вместе с пианино изрубил скелет. После этого девочка сразу выздоровела."
Старое пианино,"В одном доме умерла бабушка. Все свои вещи она разделила до смерти между родственниками. Но старое пианино не досталось никому. Тогда родственники сдали его в комиссионку.  Пианино купила одна семья. Через месяц оно сломалось, а починить было некогда. Через день ночью вдруг пропал отец. На следующую ночь - мать, затем - сын. Дочь вызвала милицию. Тогда милиция положила на кровать большую куклу.  Ночью в 12 часов из крышки пианино вдруг высунулась рука и схватила куклу, отвернула ей голову. Затем рука потащила эту голову под крышку пианино. Милиционеры бросились к пианино, открыли его крышку и увидели, что там стоит гроб, а в гробу лежит та старуха, которая умерла."
Старухино пианино,"Жили-были мать, отец, сын и дочь. Дочь говорит:  - Мам, мам, купи мне пианино.  Мать раз - купила ей пианино в магазине. Она ночью стала играть. Играет, играет, руки такие протягиваются: раз - задушили.  На другой день стал брат играть. Руки показались: раз - тоже задушили.  На следующий день отец стал пианину разбирать. Разобрал: там руки на иголках волшебные висели. Отец их взял, изломал и выкинул. Пошли в магазин отдавать пианину. Смотрят - а эта старуха, продавец, без рук."
Три волосатых пальца,"Девочка одна осталась дома и стала играть на пианино. Играет, играет, и вдруг видит: из него высунулся волосатый палец. А она вечером-то матери все рассказала, а мать ей говорит: - Не играй, дочка, на пианино.  Утром мать ушла, а девчонка снова начала играть. Глядит: высовываются два волосатых пальца. Вечером на второй день мать ей опять говорит: - Не играй на пианино!  Опять мать ушла, а девчонка снова начала играть. Высунулись три волосатых пальца и ее задушили."
Костюм Черного Тюльпана,"У одной девочки мама уехала в командировку надолго. А дело было под Новый Год. И она ей оставила 10 рублей, чтобы девочка купила себе карнавальный костюм. Приходит она в магазин, а там костюм принцессы стоит 20 рублей и костюм снежинки 15, и больше ничего нет. И вдруг продавщица говорит: - Девочка, хочешь костюм Черного Тюльпана? - А сколько он стоит? - Десять рублей.  И показывает костюм отличный. Платье черное шелковое и все остальное, что нужно для девочки. Девочка, конечно, купила костюм и побежала домой. На другой день сидит она на кухне. И вдруг само собой заговорило радио (а оно было поломанное): - Девочка, девочка, прыгай в окно, Черный Тюльпан появился в городе.  Девочка подумала, что это кто-то шутит. Она жила на втором этаже. А радио опять говорит: - Девочка, девочка, прыгай в окно, Черный Тюльпан сошел с троллейбуса, подходит к твоему дому. Девочка говорит тому голосу в радио: - Сам прыгай. Я не дура.  А радио как закричит: - Девочка, девочка! Зря ты меня не слушаешься, Черный Тюльпан подходит к твоей квартире. Он близко стоит.  Она встала, пошла к дверям, чтобы посмотреть, кто это так шутит, а в это время дверь шкафа сама собой открылась и на пороге появился Черный Тюльпан. И прямо пошел на девочку. Радио как закричит еще сильнее: - Девочка, девочка, не теряй времени! Прыгай теперь в окно! Может, еще спасешься! Тебе говорят!  Девочка прыгнула в окно. Падает, только не камнем, а как на парашюте. Может быть, и не расшибется. А Черный Тюльпан перегнулся через подоконник, вытянул руки, и они у него начали расти. Растут, растут и все хотят схватить девочку. И уже у самой земли схватили девочку и обратно втянули. И Черный Тюльпан сказал: - Ти хотела от меня убязять, я тебя за это убю.  И он заставил ее быть служанкой. И все время уходил в шкаф. Вот однажды, когда Черного Тюльпана не было, радио опять заговорило: - Девочка, девочка, достань из шкафа костюм Черного Тюльпана и сожги его.  Она бросила костюм на пол и подожгла. Он весь сразу вспыхнул черным пламенем с синим уклоном, кто-то страшно закричал, и девочка потеряла сознание. Когда она пришла в себя, на месте костюма ничего не было. И Черный Тюльпан больше не приходил."
Костюм Черного Тюльпана - 2,"Жила-была семья: мама, папа, бабушка и девочка. Однажды мама уехала в командировку и перед отъездом сказала девочке: - Вот тебе деньги. Скоро у тебя в школе новогодний праздник, пойди в магазин и купи себе костюм. Только ни в коем случае не бери себе костюм Черного Тюльпана.  Мама уехала. На следующий день девочка пошла в магазин выбирать костюм. Но там остался только костюм Черного Тюльпана. Девочка подумала-подумала и купила его.  Придя домой, она повесила костюм в шкаф. Ночью, когда все легли спать, Черный Тюльпан открыл дверь шкафа, протянул свои руки и задушил бабушку. На следующую ночь он задушил папу.  Пришла третья ночь. Девочка боялась лечь спать. Ровно в полночь открылась дверь шкафа, Черный Тюльпан протянул свои руки к лицу девочки. Она выскочила на балкон, хотела выпрыгнуть, но руки Черного Тюльпана все вытягивались и вытягивались. Наконец он поймал девочку, втащил ее в комнату и задушил."
Черная кукла и черные кубики,"У маленькой девочки была черная кукла и черные кубики. Она любила с ними играть. Однажды она услышала по радио: - Девочка, не играй с черной куклой, а то придет Черный тюльпан и съест тебя.  Не послушалась девочка и стала играть с черной куклой дальше. А по радио снова передают: - Девочка, не играй с черными кубиками, а то придет Черный тюльпан и съест тебя.  Опять не послушалась девочка и продолжала играть с кубиками. По радио снова говорят: - Девочка, берегись, Черный тюльпан нашел твой город, он ищет твою улицу...  - Девочка, Черный тюльпан нашел твою улицу, он ищет твой дом...  - Черный тюльпан нашел твой дом, он ищет твой этаж...  - Черный тюльпан нашел твой этаж, он ищет твою квартиру...  - Черный тюльпан нашел твою квартиру! Он хочет войти в нее!  Девочка подбежала к двери и увидела в глазке Черного тюльпана. Она испугалась, выбежала на балкон и прыгнула вниз..."
Черные тюльпаны,"Мать посылает свою дочь на базар и говорит: - Купи мне тюльпанов, а только черных не покупай.  Девчонка видит: у бабки ведро черных тюльпанов стоит, а других нет никаких. Купила она черных тюльпанов, принесла домой и поставила в воду на окно. И спать легла. А утром видит: мать мертвая лежит. Раз - и отца похоронили.  Девчонка решила в милицию сходить. Приводит дяденьку милиционера. Ровно в двенадцать часов он видит: тюльпаны к девчонке подкрадываются, хотят задушить. Милиционер разрубил ножом все тюльпаны. Крик раздался страшный, и кровь хлынула, как из живых.  А милиционер почернел и упал мертвый."
Продавец черных тюльпанов,"Одна женщина очень любила тюльпаны. Она их каждый день покупала на базаре. Один раз посылает сына, говорит ему: - Купи тюльпанов, только черные не покупай.  Сын идет на базар, а там только черные. Купил черных. Приходит домой. Мать говорит: - Зачем купил? - А он: - Ну ладно, тоже красивые.  Ночью из черных тюльпанов начали протягиваться какие-то руки, они раз - задушили мать. На следующий день эти руки тоже начали протягиваться. Отца задушили. А на следующую ночь сын вместо себя куклу положил. Руки начали протягиваться к кукле, куклу задушили. А мальчишка этот метал нож хорошо. Он метнул и одну руку ранил.  На следующий день вызвал милицию. Руки начали протягиваться - милиционер прострелил три пальца. Они пошли на базар, а у того продавца, который эти тюльпаны продавал, на руке трех пальцев нет и рука прострелена."
Черные розы,"У одной мамы был день рождения. Папа ушел на работу. Мама и бабушка с внучкой пошли покупать розы. Мама сказала, что нужны белые и красные розы. Но бабушка предложила купить черные. Внучка поспорила с бабушкой, но все-таки купили черные.  Пришли домой, поставили розы в воду, легли спать. В 12 часов ночи из цветов полезла рука и стала душить девочку. Так продолжалось три ночи. Родители видят, что девочка стала худеть. Тогда отец решил лечь вместе с дочерью и взял с собой топор. В 12 часов полезла рука. Отец отрубил на этой руке мизинец.  Утром бабушка стала резать хлеб, и все увидели, что у нее нет мизинца."
Черные розы - 2,"У девочки умерла мама. Когда она умирала, то просила девочку не покупать черные розы. Однажды девочка пошла погулять и увидела старуху, которая продавала черные розы. Девочке очень захотелось купить их, и она купила. Ночью, когда девочка легла спать, черные розы вдруг начали распускаться, а из них вылезали маленькие черные старушки. Они становились все больше и больше, и наконец срослись в одну большую старушенцу. Она бросилась на девочку:  - Хочу крови!  Девочка испугалась и закричала. Старуха исчезла. На следующее утро девочка отправилась к своей бабушке. Дорога шла через кладбище. Идет девочка и видит могилу той старухи, которая продавала черные розы. Девочка хочет убежать - и никак. Глаза на портрете старухи так и притягивают к себе. Подошла девочка к могиле и провалилась. Видит - темный коридор и три двери. Вошла она в первую дверь - сидят молодые девушки и плачут. - Девушки, что вы плачете? - Как не плакать, сейчас нас будут раздевать!  Вошла она в другую дверь - сидят раздетые девушки и плачут. - А вы что плачете? - Как не плакать: сейчас из нас кровь будут сосать.  Вошла девочка в третью дверь и видит, что старуха пьет из молоденьких девушек кровь. Девочка побежала, да так быстро, что старуха не смогла ее догнать. Вылезла из могилы, отряхнулась и видит: стоит ее мама и улыбается."
